company,score,Sector,url
Starteck Finance Ltd,51,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/STARTECK/consolidated/
Arnold Holdings Ltd,51,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/537069/
Team India Guaranty Ltd,51,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/TEAMGTY/
Sangam Finserv Ltd,50,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538714/
Glance Finance Ltd,50,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531199/
Moongipa Capital Finance Ltd,49,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530167/
Rajputana Investment & Finance Ltd,48,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539090/
Econo Trade India Ltd,48,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538708/
KJMC Financial Services Ltd,48,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530235/consolidated/
Kiran Vyapar Ltd,48,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/537750/consolidated/
IIFL Finance Ltd,48,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/IIFL/consolidated/
Golden Legand Leasing & Finance Ltd,48,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/509024/
Avonmore Capital & Management Services Ltd,48,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/AVONMORE/consolidated/
Shrydus Industries Ltd,48,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511493/consolidated/
BAMPSL Securities Ltd,47,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531591/
Kalyan Capitals Ltd,47,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538778/consolidated/
Cil Securities Ltd,47,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530829/
Regal Entertainment & Consultants Ltd,46,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531033/
Muthoot Capital Services Ltd,46,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/MUTHOOTCAP/
IBL Finance Ltd,46,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/IBLFL/
Key Corp Ltd,46,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/507948/
Swarna Securities Ltd,46,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531003/
Supra Pacific Financial Services Ltd,46,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/540168/
Niyogin Fintech Ltd,45,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538772/consolidated/
Garbi Finvest Ltd,44,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539492/
Indus Finance Ltd,44,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531841/
J J Finance Corporation Ltd,44,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/523062/
Smart Finsec Ltd,43,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539494/
Anjani Finance Ltd,43,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531878/
Vibrant Global Capital Ltd,43,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538732/consolidated/
Mufin Green Finance Ltd,43,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/MUFIN/
Margo Finance Ltd,43,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/500206/
Adcon Capital Services Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539506/
Amarnath Securities Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538465/
Sera Investments & Finance India Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/512399/
Ushakiran Finance Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511507/
Saumya Consultants Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539218/
Indostar Capital Finance Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/INDOSTAR/consolidated/
Moneyboxx Finance Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/MONEYBOXX/
Inter Globe Finance Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511391/
GDL Leasing & Finance Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530855/
Amit Securities Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531557/consolidated/
Manappuram Finance Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/MANAPPURAM/consolidated/
Mrugesh Trading Ltd,42,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/512065/
Credent Global Finance Ltd,41,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539598/consolidated/
Mehta Integrated Finance Ltd,41,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511377/
BFL Asset Finvest Ltd,40,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539662/
Mukesh Babu Financial Services Ltd,40,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530341/consolidated/
Galada Finance Ltd,40,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538881/
Rita Finance and Leasing Ltd,40,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/543256/
